start	end	seg_len
1172826755	1172827120	365
1172827122	1172829456	2334
1172829462	1172829579	117
1172829583	1172835843	6260
1172835864	1172842375	6511
1172842378	1172844087	1709
1172844091	1172847946	3855
1172847951	1172849131	1180
1172878403	1172878532	129
1172878535	1172885048	6513
1172885051	1172905342	20291
1172905346	1172934075	28729
1172965990	1172968396	2406
1172968398	1172968399	1
1172968402	1172973746	5344
1172977289	1172978610	1321
1172978613	1172979423	810
1172986826	1172987464	638
1172987697	1173007096	19399
1173007104	1173008837	1733
1173008840	1173013560	4720
1173038705	1173045223	6518
1173045226	1173045273	47
1173045277	1173053149	7872
1173054795	1173054841	46
1173059279	1173059715	436
1173059745	1173060210	465
1173061369	1173063617	2248
1173063619	1173069913	6294
1173069915	1173070650	735
1173075303	1173075334	31
1173075336	1173075398	62
1173075400	1173076079	679
1173076323	1173080906	4583
1173080910	1173080912	2
1173080914	1173083190	2276
1173083192	1173083231	39
1173083234	1173083235	1
1173083241	1173083253	12
1173083265	1173085550	2285
1173085559	1173086168	609
1173086170	1173097011	10841
1173097013	1173097238	225
1173097244	1173097312	68
1173097317	1173097632	315
1173102686	1173104615	1929
1173104617	1173113944	9327
1173116983	1173121408	4425
1173141413	1173141780	367
1173141795	1173165552	23757
1173171307	1173171603	296
1173171732	1173178687	6955
1173178689	1173187652	8963
1173194526	1173194887	361
1173196986	1173203038	6052
1173203115	1173203660	545
1173207542	1173220839	13297
1173220841	1173222630	1789
1173222632	1173224056	1424
1173224058	1173231577	7519
1173233419	1173233454	35
1173233674	1173267230	33556
1173269807	1173272929	3122
1173272996	1173297618	24622
1173352101	1173354361	2260
1173354433	1173355387	954
1173360546	1173360746	200
1173393944	1173394920	976
1173394923	1173400844	5921
1173408457	1173414733	6276
1173423236	1173441620	18384
1173441622	1173441685	63
1173441692	1173469551	27859
1173472731	1173478497	5766
1173478499	1173500025	21526
1173505952	1173515859	9907
1173515862	1173523344	7482
1173523346	1173524175	829
1173527274	1173532037	4763
1173532039	1173532495	456
1173532497	1173535269	2772
1173573161	1173574005	844
1173579478	1173579561	83
1173579621	1173580473	852
1173585061	1173587079	2018
