# m1 m2 mc q a1z a2z Mf af
4.227776236378610974e+01 2.349576467452000728e+01 2.720512464588971469e+01 5.557475930808909448e-01 -5.844003591278545962e-02 3.533610214851112818e-02 6.310375076905711467e+01 6.255976444383105628e-01
5.907775861596910971e+01 1.599034987847482903e+01 2.570858011929149001e+01 2.706661568259384198e-01 2.463453525074429940e-01 -6.263501688661333722e-01 7.304745789597002670e+01 5.992926025560559866e-01
3.353309304547057934e+01 2.938130719294148463e+01 2.731346664309523220e+01 8.761884015023813088e-01 9.326894755373432710e-02 -4.165550330852222372e-01 6.009229827443113692e+01 6.461301217859881652e-01
4.578795824971926720e+01 2.088863049754902690e+01 2.652174364638492321e+01 4.562035805052979676e-01 1.361585551267374683e-02 -1.144598520813669140e-01 6.424058348637841220e+01 6.053714409460232426e-01
3.414764756046481864e+01 2.260673243420782441e+01 2.408570007367734078e+01 6.620289844030503579e-01 -2.759940101556466185e-01 -8.773153874853263368e-01 5.477303848017040622e+01 5.115698007828701765e-01
4.002873257386826111e+01 1.669033431819340052e+01 2.208799572929595101e+01 4.169588504305844490e-01 -4.501888717767843495e-01 -7.483339417469729860e-01 5.521754599551311316e+01 3.815063438832790310e-01
3.809155660398150900e+01 2.677761831216829336e+01 2.771741507329819498e+01 7.029804161211246072e-01 5.479856796183288914e-01 -9.557426611501056435e-01 6.183931173926816882e+01 7.019050728776622394e-01
6.958813016436226917e+01 1.289256821265264819e+01 2.445987859440353063e+01 1.852696455875637027e-01 2.194779230776314483e-01 -2.242672398352098806e-01 8.094682770389262316e+01 5.287574183154803986e-01
9.135446353038793177e+01 1.028282893878919957e+01 2.411541900414305672e+01 1.125596773426264380e-01 3.364844962717353227e-01 -2.263584310859830528e-01 1.004418203484003271e+02 5.281667389848283545e-01
4.646369254803195048e+01 1.976153788948323964e+01 2.591528447935623092e+01 4.253113948930060673e-01 -1.330851521085071043e-01 -6.600115417962716668e-02 6.405436428427371709e+01 5.409687728770180559e-01
5.524447717614707898e+01 1.744916927222379499e+01 2.619020412131970588e+01 3.158536411990486847e-01 1.286624104910430444e-01 -2.383679156248655617e-01 7.057564733234869436e+01 5.795553820234460307e-01
3.227041416335401891e+01 3.003419226314436230e+01 2.709868808408433694e+01 9.307036504431018820e-01 5.262355811886970658e-01 -8.902471525980016898e-01 5.950775799905050434e+01 6.469561969674431090e-01
5.466109420620954040e+01 1.336698279729754191e+01 2.247446629419304998e+01 2.445429055421111941e-01 -3.145439096141597890e-01 7.628728539738485193e-01 6.673879152690707883e+01 3.144729652419772647e-01
4.228149960316849132e+01 1.713936928639215296e+01 2.297731781872381163e+01 4.053633255029526206e-01 -7.078737092381797158e-01 4.142227165299653957e-01 5.787797853881359345e+01 3.262344329062503157e-01
7.714143990911512105e+01 1.417650586927756073e+01 2.699000339516480196e+01 1.837728967203585695e-01 3.881617836388494003e-01 -3.066156762370514377e-01 8.941293980098549810e+01 6.281215222025795519e-01
4.496184504184418529e+01 1.829432840540050265e+01 2.448362809371679560e+01 4.068856246529630738e-01 -1.665967261162672186e-01 -2.774350061288433644e-01 6.131337610919882053e+01 5.078417797002466871e-01
3.589445842229732619e+01 2.437434875310424687e+01 2.565415629505188733e+01 6.790560388553770199e-01 -6.179953305444538803e-01 3.933243810688211162e-01 5.791287499158343621e+01 5.519789924232488820e-01
5.188214753406627722e+01 1.442870420655718711e+01 2.292082490436487419e+01 2.781053771354235482e-01 -3.794619703145985512e-01 8.424408706471373520e-01 6.490508581896790474e+01 3.310378172008815456e-01
3.912549734096263165e+01 2.293190643776395632e+01 2.589293605805847065e+01 5.861115639737896066e-01 -4.129434408747115759e-01 1.756821340433260270e-01 5.973998436425446812e+01 5.454000671873111550e-01
4.972383462379539765e+01 1.350710711823190024e+01 2.168154590741040977e+01 2.716425074700103415e-01 -2.149696667432642871e-01 -9.434035266875084869e-01 6.192276746702654577e+01 3.585313016207632986e-01
5.478173306212342197e+01 1.834358457014422328e+01 2.681997885405733584e+01 3.348485625553737632e-01 7.615456378493010159e-02 4.335186986012712351e-02 7.091684067898732735e+01 5.766539505031228474e-01
4.193688689387877133e+01 1.927941789912900106e+01 2.439161975598682730e+01 4.597245844193332265e-01 -2.187082291574323767e-01 -3.877940343770900355e-01 5.923564581156011144e+01 5.108858105333635713e-01
5.527820369676912549e+01 1.783583003407441581e+01 2.651601153344237005e+01 3.226557456880038699e-01 -9.020174101924956223e-02 9.365675092051934936e-01 7.104717416254315765e+01 5.227360755850770646e-01
4.497862778246618376e+01 2.076794717152560921e+01 2.622196519578814033e+01 4.617292299793432919e-01 2.241942491808867066e-01 -8.538523633201351437e-01 6.328357258900484794e+01 6.397302458586002771e-01
3.524640451532251717e+01 2.937775214941037660e+01 2.798988102916145593e+01 8.334964247669323090e-01 2.180624144890367933e-01 -3.575373169223960423e-01 6.157703234189362007e+01 6.797047132155695781e-01
3.756154686018391686e+01 2.037177351869976860e+01 2.386039895559955326e+01 5.423571503732266263e-01 -5.977002901896104614e-01 -1.250612201187438766e-01 5.608226412160257723e+01 4.452820310713111462e-01
3.608172720016278845e+01 2.926990473042600982e+01 2.826011267671366056e+01 8.112112972877294492e-01 4.328275027478521997e-01 -5.336931961169747440e-01 6.217167049573978233e+01 7.021082420285290615e-01
5.179295571480163574e+01 1.513457471772157703e+01 2.351925661281087798e+01 2.922129951621267874e-01 -2.859300461399717497e-01 3.138912116431230581e-01 6.541332288311657805e+01 3.806480059835603003e-01
5.119045651533134134e+01 1.935910644992349106e+01 2.678833496264129010e+01 3.781780387937254684e-01 1.626235215166648707e-01 -2.802727773633505448e-01 6.814782213249490894e+01 6.226741277554996845e-01
6.184348732884502908e+01 1.677333563904711511e+01 2.694293772912964968e+01 2.712223447209080596e-01 2.479713491484474702e-02 9.240048208288972331e-01 7.664230717879351573e+01 5.274581934432718278e-01
4.853576765532834969e+01 1.770797797787734496e+01 2.490631918773981468e+01 3.648438838678454421e-01 -2.050576171961155103e-01 1.170085064832689509e-01 6.435576873551971744e+01 4.805453056485478602e-01
5.283784256154325476e+01 1.843946343993655290e+01 2.646218847272993813e+01 3.489821413215169477e-01 2.559607325517981175e-02 2.426049346280773900e-01 6.907893543763344724e+01 5.707722847605943839e-01
6.572139329207779213e+01 1.302785589779017172e+01 2.400482479203315478e+01 1.982285408937089488e-01 3.311195236046424878e-02 4.470229995895873554e-01 7.733433126969947580e+01 4.415701163497742776e-01
3.343304747570496005e+01 3.000096845556247160e+01 2.756273453058990341e+01 8.973447149071138718e-01 1.186158585042499658e-01 -3.753275678839190221e-01 6.053975534243604528e+01 6.549416140626395100e-01
9.327398892379351025e+01 1.029380324380248979e+01 2.434203620979766214e+01 1.103609201511978610e-01 4.176986109898030985e-01 -8.019073301093165851e-01 1.022937287311064125e+02 5.807357720554570113e-01
3.859750554233990272e+01 1.934683292543948241e+01 2.351252497502140670e+01 5.012456803514617754e-01 -6.478900408710294156e-01 1.481409148681523714e-02 5.619431563513366257e+01 4.121512118990375839e-01
4.078393454438589316e+01 2.069928613750678892e+01 2.501009674487373857e+01 5.075352922357057039e-01 -5.955746206641460150e-01 5.371855789888052568e-01 5.944315156760900010e+01 4.675580552285553693e-01
5.198289257850884582e+01 1.824562623147351914e+01 2.611613036613374206e+01 3.509929002876758242e-01 -1.334530895924952165e-01 7.083092572304701129e-01 6.814947604503497303e+01 5.214810387912988121e-01
4.465650484110075524e+01 2.250164565873083689e+01 2.727970444085181967e+01 5.038828215239288255e-01 -3.654049947633091211e-01 9.093278673491780317e-01 6.461240794834432677e+01 5.626033086670868544e-01
6.178018758420854795e+01 1.535127344344366840e+01 2.563007438152252959e+01 2.484821436082457202e-01 2.906814679006580748e-01 -8.911464220290190585e-01 7.516717932216272402e+01 6.038309169641139507e-01
4.688399530073625954e+01 1.738188018631823084e+01 2.427038881191133868e+01 3.707422986207250526e-01 -4.552014030751609930e-01 8.708390515354327288e-01 6.249084354861490453e+01 4.116517443645388852e-01
3.677116650504856921e+01 2.180961490244221324e+01 2.448737379231995348e+01 5.931172974740362980e-01 -8.169249956118429523e-02 -8.452354123265664043e-01 5.645111901904765261e+01 5.597634991285269646e-01
5.529057200338247213e+01 1.982334229832984462e+01 2.810300100991621619e+01 3.585302444893702090e-01 1.122882964254428434e-01 4.434797465596690969e-01 7.259884225772881905e+01 6.199091024963139240e-01
4.269629773720741639e+01 1.896123875537011827e+01 2.437569018287474165e+01 4.440956185961404401e-01 -4.059383306365523802e-01 2.312550819587981255e-01 5.974222624527969572e+01 4.679478852364512553e-01
